isocode,country,year,rgdpo,pop,rnna,region
ALB,Albania,1950,NA,NA,NA,Europe
ALB,Albania,1951,NA,NA,NA,Europe
ALB,Albania,1952,NA,NA,NA,Europe
ALB,Albania,1953,NA,NA,NA,Europe
ALB,Albania,1954,NA,NA,NA,Europe
ALB,Albania,1955,NA,NA,NA,Europe
ALB,Albania,1956,NA,NA,NA,Europe
ALB,Albania,1957,NA,NA,NA,Europe
ALB,Albania,1958,NA,NA,NA,Europe
ALB,Albania,1959,NA,NA,NA,Europe
ALB,Albania,1960,NA,NA,NA,Europe
ALB,Albania,1961,NA,NA,NA,Europe
ALB,Albania,1962,NA,NA,NA,Europe
ALB,Albania,1963,NA,NA,NA,Europe
ALB,Albania,1964,NA,NA,NA,Europe
ALB,Albania,1965,NA,NA,NA,Europe
ALB,Albania,1966,NA,NA,NA,Europe
ALB,Albania,1967,NA,NA,NA,Europe
ALB,Albania,1968,NA,NA,NA,Europe
ALB,Albania,1969,NA,NA,NA,Europe
ALB,Albania,1970,6697.49169921875,2.1507069999999997,42108.87890625,Europe
ALB,Albania,1971,6958.49609375,2.2021889999999997,44232.81640625,Europe
ALB,Albania,1972,7246.0380859375,2.254056,46481.6875,Europe
ALB,Albania,1973,7536.60546875,2.3062899999999997,48857.85546875,Europe
ALB,Albania,1974,7855.1240234375,2.3588459999999998,51354.73828125,Europe
ALB,Albania,1975,8164.37109375,2.4117319999999998,53965.00390625,Europe
ALB,Albania,1976,8459.7861328125,2.4649829999999997,56717.81640625,Europe
ALB,Albania,1977,8818.5849609375,2.518685,59568.06640625,Europe
ALB,Albania,1978,9209.2919921875,2.57285,62530.35546875,Europe
ALB,Albania,1979,9454.9375,2.6275049999999998,65734.6171875,Europe
ALB,Albania,1980,9964.9619140625,2.68269,68868.6015625,Europe
ALB,Albania,1981,10363.2509765625,2.7370259999999997,72158.03125,Europe
ALB,Albania,1982,10391.9833984375,2.790275,76157.9296875,Europe
ALB,Albania,1983,10741.69140625,2.844871,80063.890625,Europe
ALB,Albania,1984,10857.1044921875,2.90414,84107.984375,Europe
ALB,Albania,1985,10957.0390625,2.9696719999999996,87445.0390625,Europe
ALB,Albania,1986,11511.298828125,3.044212,90982.7109375,Europe
ALB,Albania,1987,11730.3349609375,3.124894,94497.5859375,Europe
ALB,Albania,1988,11490.50390625,3.200977,97841.6953125,Europe
ALB,Albania,1989,12432.41015625,3.2579249999999997,101616.984375,Europe
ALB,Albania,1990,12096.71875,3.286073,105256.8359375,Europe
ALB,Albania,1991,10822.84765625,3.280395,103158.3671875,Europe
ALB,Albania,1992,9767.3681640625,3.245886,100921.2734375,Europe
ALB,Albania,1993,11222.619140625,3.1951989999999997,100355.8359375,Europe
ALB,Albania,1994,12672.1904296875,3.146519,101302.96875,Europe
ALB,Albania,1995,13669.630859375,3.112936,102688.9140625,Europe
ALB,Albania,1996,15067.375,3.0987,104849.3125,Europe
ALB,Albania,1997,14072.3095703125,3.099752,105178.171875,Europe
ALB,Albania,1998,15531.7041015625,3.1106819999999997,105731.796875,Europe
ALB,Albania,1999,16525.3984375,3.122697,107268.6171875,Europe
ALB,Albania,2000,16633.271484375,3.1292429999999998,110387.4140625,Europe
ALB,Albania,2001,17293.77734375,3.129704,114763.4453125,Europe
ALB,Albania,2002,17619.767578125,3.126187,119387.4765625,Europe
ALB,Albania,2003,18275.126953125,3.118023,124476.609375,Europe
ALB,Albania,2004,18750.12109375,3.104892,130417.8359375,Europe
ALB,Albania,2005,20162.416015625,3.08681,136897.46875,Europe
ALB,Albania,2006,21773.833984375,3.063021,144038.421875,Europe
ALB,Albania,2007,23260.232421875,3.033998,151500.9375,Europe
ALB,Albania,2008,25868.791015625,3.002678,159319,Europe
ALB,Albania,2009,27709.900390625,2.973048,167014.328125,Europe
ALB,Albania,2010,31021.064453125,2.948023,173480.5625,Europe
ALB,Albania,2011,31369.515625,2.928592,180424.40625,Europe
ALB,Albania,2012,32366.19140625,2.914096,186219.625,Europe
ALB,Albania,2013,30914.69140625,2.90379,191620.546875,Europe
ALB,Albania,2014,32090.505859375,2.896305,196345.5,Europe
ALB,Albania,2015,33659.421875,2.890513,201283.375,Europe
ALB,Albania,2016,33697.9765625,2.886438,206342.296875,Europe
ALB,Albania,2017,34974.9453125,2.884169,211882.671875,Europe
ALB,Albania,2018,35363.46875,2.88274,217550.953125,Europe
ALB,Albania,2019,36103.04296875,2.8809169999999997,222623.453125,Europe
AUT,Austria,1950,41605.02734375,6.980751367830716,263725.125,Europe
AUT,Austria,1951,43706.10546875,6.981104630171921,275235.78125,Europe
AUT,Austria,1952,44922.38671875,6.973375096554041,281373.125,Europe
AUT,Austria,1953,47309.0625,6.978117259503907,283039.75,Europe
AUT,Austria,1954,50657.71875,6.985893830770478,289468.375,Europe
AUT,Austria,1955,55541.88671875,6.992613974845486,302844.34375,Europe
AUT,Austria,1956,59629.859375,6.998124099406665,313487.96875,Europe
AUT,Austria,1957,62760.4375,7.011713660094879,325074.46875,Europe
AUT,Austria,1958,65324.33984375,7.033353378373694,336109.84375,Europe
AUT,Austria,1959,67548.265625,7.060503701189697,347542.625,Europe
AUT,Austria,1960,72448.734375,7.09382795538466,366649.78125,Europe
AUT,Austria,1961,76432.4921875,7.132945519984975,386315.90625,Europe
AUT,Austria,1962,78591.6875,7.176797567919043,403376.21875,Europe
AUT,Austria,1963,81837.1953125,7.223046616032425,420514.59375,Europe
AUT,Austria,1964,85747.6015625,7.271352841312115,443398.34375,Europe
AUT,Austria,1965,88459.3984375,7.318750472010421,466084.375,Europe
AUT,Austria,1966,92929.5859375,7.37026437694537,492994.40625,Europe
AUT,Austria,1967,95787.140625,7.425558092936007,517659.3125,Europe
AUT,Austria,1968,99937.0390625,7.464215840521548,543625.8125,Europe
AUT,Austria,1969,104938.34375,7.490036629797963,571795.0625,Europe
AUT,Austria,1970,111568.6328125,7.516239,606366.125,Europe
AUT,Austria,1971,117567.71875,7.550339999999999,647546.0625,Europe
AUT,Austria,1972,124571.890625,7.581117,694442.4375,Europe
AUT,Austria,1973,130781.703125,7.6070649999999995,739066.3125,Europe
AUT,Austria,1974,135338.328125,7.62629,784420.4375,Europe
AUT,Austria,1975,136221.3125,7.637689,823614.625,Europe
AUT,Austria,1976,139693.34375,7.640749,863865,Europe
AUT,Austria,1977,145573.96875,7.636576,909277.5625,Europe
AUT,Austria,1978,145074.265625,7.627758999999999,947241.3125,Europe
AUT,Austria,1979,151004.609375,7.617883999999999,988585.125,Europe
